Wall time,Step,Value
1637326227.9424064,32800,0.09638553857803345
1637326253.8457184,49200,0.0845070406794548
1637326305.2936194,82000,0.06741572916507721
1637326356.6851227,114800,0.029411764815449715
1637326382.3315985,131200,0.025316456332802773
1637326407.8571372,147600,0.03529411926865578
1637326433.395355,164000,0.032608695328235626
1637326459.3179085,180400,0.03703703731298447
1637326485.17743,196800,0.05000000074505806
1637326510.6697586,213200,0.025974025949835777
1637326536.120098,229600,0.012500000186264515
1637326561.6806355,246000,0.029411764815449715
1637326587.3666875,262400,0.014705882407724857
1637326613.029695,278800,0.012658228166401386
1637326638.4574723,295200,0.024390242993831635
1637326663.9720178,311600,0.014084506779909134
1637326689.271689,328000,0.013333333656191826
1637326714.7551243,344400,0.025974025949835777
1637326740.1298718,360800,0.04444444552063942
1637326765.6077774,377200,0.04494382068514824
1637326791.3087046,393600,0.02666666731238365
1637326816.7542937,410000,0.027027027681469917
1637326842.4357085,426400,0.0117647061124444
1637326867.880001,442800,0.08695652335882187
1637326918.6509142,475600,0.0476190485060215
1637326994.6743677,524800,0.02500000037252903
1637327019.8732798,541200,0.013333333656191826
1637327045.7319283,557600,0.02777777798473835
1637327071.3283548,574000,0.012987012974917889
1637327096.8546236,590400,0.05494505539536476
1637327147.8991344,623200,0.0416666679084301
1637327173.2664769,639600,0.07954545319080353
1637327198.5415502,656000,0.04651162773370743
1637327224.2191584,672400,0.0117647061124444
1637327249.6665995,688800,0.012987012974917889
1637327300.4235203,721600,0.013513513840734959
1637327326.0786128,738000,0.08974359184503555
1637327351.5490108,754400,0.04878048598766327
1637327376.8417478,770800,0.025641025975346565
1637327402.3777924,787200,0.014285714365541935
1637327427.9720693,803600,0.013888888992369175
1637327479.0156882,836400,0.06060606241226196
1637327504.5793223,852800,0.04054053872823715
1637327555.7887619,885600,0.08860759437084198
1637327581.4641747,902000,0.08988764137029648
1637327606.9777913,918400,0.10256410390138626
1637327632.851056,934800,0.0470588244497776
1637327658.5150933,951200,0.0972222238779068
1637328480.2815752,967600,0.024096384644508362
1637328531.2973485,1000400,0.025316456332802773
1637328556.6349828,1016800,0.054794520139694214
1637328582.081776,1033200,0.050632912665605545
1637328607.6149955,1049600,0.04285714402794838
1637328633.0681925,1066000,0.06410256773233414
1637328658.7009377,1082400,0.02857142873108387
1637328684.5662065,1098800,0.04477611929178238
1637328710.0168602,1115200,0.04545454680919647
1637328735.375051,1131600,0.012658228166401386
1637328760.8742368,1148000,0.07352941483259201
1637328786.318048,1164400,0.10958904027938843
1637328837.1105425,1197200,0.03896103799343109
1637328862.5571349,1213600,0.06410256773233414
1637328888.3080595,1230000,0.0317460335791111
1637328913.6148825,1246400,0.08235294371843338
